iter	Passed	Remaining
0	154	154448
1	155	77655
2	156	52128
3	157	39235
4	158	31517
5	159	26344
6	159	22643
7	160	19881
8	160	17718
9	161	15996
10	162	14579
11	162	13399
12	163	12423
13	164	11577
14	165	10858
15	165	10206
16	166	9630
17	167	9115
18	167	8655
19	168	8241
20	169	7878
21	169	7550
22	170	7255
23	171	6971
24	172	6708
25	172	6464
26	173	6245
27	174	6062
28	175	5866
29	175	5682
30	176	5509
31	176	5347
32	177	5196
33	177	5054
34	178	4924
35	179	4798
36	179	4682
37	180	4574
38	181	4468
39	181	4366
40	182	4271
41	183	4182
42	184	4096
43	184	4013
44	185	3935
45	186	3863
46	187	3798
47	189	3749
48	190	3689
49	190	3628
50	191	3566
51	192	3504
52	193	3448
53	193	3394
54	194	3339
55	194	3286
56	195	3235
57	196	3187
58	196	3140
59	197	3096
60	198	3052
61	198	3010
62	199	2968
63	200	2927
64	200	2887
65	201	2849
66	201	2811
67	202	2775
68	203	2741
69	203	2707
70	204	2676
71	205	2643
72	205	2611
73	206	2580
74	207	2553
75	207	2525
76	208	2496
77	208	2468
78	209	2441
79	210	2416
80	210	2391
81	211	2365
82	211	2337
83	212	2312
84	212	2288
85	213	2265
86	214	2246
87	214	2227
88	215	2207
89	216	2186
90	216	2166
91	217	2145
92	218	2126
93	218	2107
94	219	2088
95	219	2069
96	220	2052
97	221	2035
98	222	2020
99	222	2004
100	223	1987
101	223	1970
102	224	1953
103	224	1937
104	225	1921
105	225	1905
106	226	1890
107	227	1875
108	227	1861
109	228	1847
110	228	1832
111	229	1818
112	229	1804
113	230	1791
114	231	1778
115	231	1765
116	232	1751
117	232	1739
118	233	1728
119	234	1719
120	235	1708
121	235	1696
122	236	1686
123	237	1678
124	238	1668
125	239	1657
126	239	1646
127	240	1635
128	240	1625
129	241	1615
130	241	1605
131	242	1597
132	243	1589
133	244	1581
134	245	1573
135	246	1566
136	247	1561
137	248	1552
138	249	1542
139	249	1533
140	250	1524
141	250	1514
142	251	1505
143	251	1496
144	252	1489
145	253	1483
146	254	1475
147	254	1467
148	255	1459
149	256	1451
150	256	1443
151	257	1435
152	257	1428
153	258	1420
154	259	1413
155	259	1405
156	260	1398
157	261	1391
158	261	1384
159	262	1377
160	262	1369
161	263	1361
162	263	1355
163	264	1348
164	265	1344
165	266	1338
166	267	1332
167	267	1325
168	268	1319
169	268	1312
170	269	1306
171	270	1300
172	271	1296
173	271	1290
174	272	1284
175	273	1279
176	273	1273
177	275	1270
178	275	1265
179	276	1260
180	277	1255
181	278	1249
182	278	1243
183	279	1238
184	279	1232
185	280	1226
186	280	1221
187	281	1216
188	282	1211
189	282	1206
190	283	1202
191	284	1197
192	285	1193
193	285	1187
194	286	1182
195	287	1177
196	287	1172
197	288	1168
198	289	1164
199	290	1160
200	290	1155
201	291	1151
202	292	1147
203	292	1142
204	293	1137
205	294	1133
206	294	1128
207	295	1124
208	295	1119
209	296	1115
210	296	1110
211	297	1105
212	298	1101
213	298	1096
214	299	1092
215	299	1087
216	300	1083
217	300	1079
218	302	1077
219	302	1073
220	303	1069
221	304	1065
222	304	1061
223	305	1057
224	306	1054
225	306	1051
226	307	1047
227	308	1043
228	308	1039
229	309	1035
230	309	1031
231	310	1027
232	310	1023
233	311	1019
